scale,condition,n,mean,sd,median,q1,q3
Task-Specific Workload,Freedrive,11,38.84090909090909,18.299683305754478,42.5,26.125,53.125
Task-Specific Workload,AR Handle,11,35.63636363636363,24.055759091214423,33.75,17.0,52.75
Task-Specific Workload,Hybrid,11,26.795454545454547,16.35535775434849,25.0,17.0,34.375
Adjustment Controllability,Freedrive,11,4.696969696969696,0.9939209163101397,4.666666666666667,3.833333333333333,5.333333333333333
Adjustment Controllability,AR Handle,11,5.2727272727272725,1.1720654306553768,5.0,4.666666666666667,6.0
Adjustment Controllability,Hybrid,11,6.212121212121212,0.7035264706814485,6.333333333333333,5.833333333333334,6.666666666666667
Robot Motion Predictability,Freedrive,11,6.212121212121212,0.6875516509523286,6.333333333333333,5.833333333333334,6.833333333333334
Robot Motion Predictability,AR Handle,11,4.8181818181818175,1.2593087730412211,4.666666666666667,4.166666666666666,5.333333333333333
Robot Motion Predictability,Hybrid,11,5.666666666666666,1.085254706406647,5.666666666666667,5.0,6.5
Perceived Operational Safety,Freedrive,11,6.363636363636363,1.1421669994118435,7.0,6.25,7.0
Perceived Operational Safety,AR Handle,11,5.636363636363637,1.12006493318265,5.5,4.75,6.75
Perceived Operational Safety,Hybrid,11,5.954545454545454,0.9070431482169262,6.0,5.0,7.0
Trust in Safe Positioning,Freedrive,11,5.818181818181818,1.4709304414677,6.0,5.5,7.0
Trust in Safe Positioning,AR Handle,11,5.545454545454546,1.2135597524338357,6.0,5.0,6.0
Trust in Safe Positioning,Hybrid,11,5.818181818181818,0.8738628975053029,6.0,5.0,6.5
