timestamp,participant_id,condition,event_type,modality,step_id,step_title,step_state,step_attempt,step_event_index,tool_id,tool_name,part_elapsed_s,step_elapsed_s,head_translation_m,head_rotation_deg,left_hand_translation_m,right_hand_translation_m,total_hand_translation_m,left_hover_time_s,right_hover_time_s,any_hover_time_s,hover_time_percent,left_hover_episodes,right_hover_episodes,left_hover_translation_m,right_hover_translation_m,total_hover_translation_m,correct,transcript,vlm_prediction,vlm_raw,graph_decision,spoken_response,state_json
2026-09-04T17:38:47.086-04:00,apoorva,language,vlm_request_submitted,speech,r1_gear_rod,Row 1.2: assemble gear rod,ready,4,21,,,,20.334490,,,,,,,,,,,,,,,,wooden pin,,,speech_proxy,,"{""acquired_tool_ids"": [14, 26], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [15, 20, 21, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 20.334509387030266, ""step_event_index"": 21, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:50.350-04:00,apoorva,language,vlm_inference_completed,lifecycle,r1_gear_rod,Row 1.2: assemble gear rod,ready,4,22,,,,23.598751,,,,,,,,,,,,,,,,wooden pin,,,PIN,,"{""acquired_tool_ids"": [14, 26], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [15, 20, 21, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 23.598761986009777, ""step_event_index"": 22, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:50.466-04:00,apoorva,language,vlm_interaction,language,r1_gear_rod,Row 1.2: assemble gear rod,ready,4,23,,,,,,,,,,,,,,,,,,,,wooden pin,PIN,"{""intent"":""part_reference"",""part_action"":""reference"",""reference_relation"":""direct"",""step_scope"":"""",""target"":""PIN"",""candidates"":[],""exclude_labels"":[]}",language_grounded,I identified and highlighted the wooden retaining pin.,"{""acquired_tool_ids"": [14, 26], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [15, 20, 21, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 23.714533049962483, ""step_event_index"": 23, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:50.540-04:00,apoorva,language,part_selection,language,r1_gear_rod,Row 1.2: assemble gear rod,ready,4,24,33,PINS,8.336815,23.788407,,,,,,,,,,,,,,,1,,,,,,"{""acquired_tool_ids"": [14, 26, 33], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [15, 20, 21, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 23.78845193295274, ""step_event_index"": 24, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:50.666-04:00,apoorva,language,object_acquired,language,r1_gear_rod,Row 1.2: assemble gear rod,ready,4,25,33,PINS,8.336815,23.788407,,,,,,,,,,,,,,,1,,,,,,"{""acquired_tool_ids"": [14, 26, 33], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [15, 20, 21, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 23.914301504031755, ""step_event_index"": 25, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:50.695-04:00,apoorva,language,step_acquisition_complete,language,r1_gear_rod,Row 1.2: assemble gear rod,ready,4,26,,,,23.943264,0.631717,240.443676,1.698120,0.918481,2.616601,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,,,,,,,"{""acquired_tool_ids"": [14, 26, 33], ""acquisition_complete"": true, ""any_hover_time_s"": 0.0, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left""], ""head_rotation_deg"": 240.44367602198872, ""head_translation_m"": 0.6317171538342606, ""hover_time_percent"": 0.0, ""left_hand_translation_m"": 1.6981201145395417, ""left_hover_episodes"": 0, ""left_hover_time_s"": 0.0, ""left_hover_translation_m"": 0.0, ""removed_tool_ids"": [14, 15, 20, 21, 26, 27, 28], ""right_hand_translation_m"": 0.9184811762524225, ""right_hover_episodes"": 0, ""right_hover_time_s"": 0.0, ""right_hover_translation_m"": 0.0, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 23.943264116998762, ""step_event_index"": 26, ""total_hand_translation_m"": 2.616601290791964, ""total_hover_translation_m"": 0.0, ""trial_finished_elapsed_s"": 23.943264116998762, ""trial_recording"": false, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:50.735-04:00,apoorva,language,graph_complete,,r1_gear_rod,Row 1.2: assemble gear rod,complete,4,27,,,,,,,,,,,,,,,,,,,,,,,,,"{""acquired_tool_ids"": [14, 26, 33], ""acquisition_complete"": true, ""any_hover_time_s"": 0.0, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left"", ""r1_gear_rod""], ""head_rotation_deg"": 240.44367602198872, ""head_translation_m"": 0.6317171538342606, ""hover_time_percent"": 0.0, ""left_hand_translation_m"": 1.6981201145395417, ""left_hover_episodes"": 0, ""left_hover_time_s"": 0.0, ""left_hover_translation_m"": 0.0, ""removed_tool_ids"": [14, 15, 20, 21, 26, 27, 28], ""right_hand_translation_m"": 0.9184811762524225, ""right_hover_episodes"": 0, ""right_hover_time_s"": 0.0, ""right_hover_translation_m"": 0.0, ""selected_step"": ""r1_gear_rod"", ""step_attempt"": 4, ""step_elapsed_s"": 23.943264116998762, ""step_event_index"": 27, ""total_hand_translation_m"": 2.616601290791964, ""total_hover_translation_m"": 0.0, ""trial_finished_elapsed_s"": 23.943264116998762, ""trial_recording"": false, ""trial_required_tool_ids"": [14, 26, 33]}"
2026-09-04T17:38:57.849-04:00,apoorva,language,step_started,keyboard,r1_bearing_right,Row 1.1: bearing into right stand,ready,5,1,,,,,,,,,,,,,,,,,,,,,,,,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left"", ""r1_gear_rod""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [14, 15, 20, 21, 26, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 5, ""step_elapsed_s"": 0.0005209689261391759, ""step_event_index"": 1, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 34]}"
2026-09-04T17:39:03.756-04:00,apoorva,language,participant_speech_submitted,speech,r1_bearing_right,Row 1.1: bearing into right stand,ready,5,2,,,,5.906938,,,,,,,,,,,,,,,,row1 right gearstand,,,speech_proxy,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left"", ""r1_gear_rod""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [14, 15, 20, 21, 26, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 5, ""step_elapsed_s"": 5.90695145400241, ""step_event_index"": 2, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 34]}"
2026-09-04T17:39:03.796-04:00,apoorva,language,vlm_request_submitted,speech,r1_bearing_right,Row 1.1: bearing into right stand,ready,5,3,,,,5.946917,,,,,,,,,,,,,,,,row1 right gearstand,,,speech_proxy,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [""r2_bearing_right"", ""r2_gear_rod"", ""r2_bearing_left"", ""r1_gear_rod""], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [14, 15, 20, 21, 26, 27, 28], ""right_hand_translation_m"": null, ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 5, ""step_elapsed_s"": 5.946927145007066, ""step_event_index"": 3, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 34]}"
